PERFUME_ID,SEASON,ratio,LOAD_DT
8716,Summer,48.57,2026-01-20 08:39:39
8716,Spring,42.86,2026-01-20 08:39:39
8717,Fall,34.7,2026-01-20 08:39:39
8717,Winter,28.41,2026-01-20 08:39:39
8717,Spring,24.04,2026-01-20 08:39:39
8719,Fall,30.12,2026-01-20 08:39:39
8719,Spring,28.11,2026-01-20 08:39:39
8719,Summer,24.1,2026-01-20 08:39:39
8721,Spring,33.05,2026-01-20 08:39:39
8721,Summer,32.37,2026-01-20 08:39:39
8721,Fall,22.37,2026-01-20 08:39:39
8724,Spring,47.83,2026-01-20 08:39:39
8724,Summer,34.78,2026-01-20 08:39:39
8725,Winter,43.3,2026-01-20 08:39:39
8725,Fall,39.92,2026-01-20 08:39:39
8727,Winter,35.71,2026-01-20 08:39:39
8727,Fall,35.71,2026-01-20 08:39:39
8727,Spring,20.41,2026-01-20 08:39:39
8732,Spring,36.61,2026-01-20 08:39:39
8732,Fall,27.32,2026-01-20 08:39:39
8734,Spring,33.47,2026-01-20 08:39:39
8734,Summer,26.33,2026-01-20 08:39:39
8734,Fall,24.69,2026-01-20 08:39:39
8738,Spring,39.5,2026-01-20 08:39:39
8738,Summer,38.67,2026-01-20 08:39:39
8739,Summer,39.74,2026-01-20 08:39:39
8739,Spring,38.41,2026-01-20 08:39:39
8740,Spring,42.86,2026-01-20 08:39:39
8740,Summer,40.0,2026-01-20 08:39:39
8742,Summer,43.01,2026-01-20 08:39:39
8742,Spring,39.43,2026-01-20 08:39:39
8743,Winter,38.86,2026-01-20 08:39:39
8743,Fall,38.86,2026-01-20 08:39:39
8746,Fall,28.92,2026-01-20 08:39:39
8746,Summer,27.38,2026-01-20 08:39:39
8746,Spring,27.38,2026-01-20 08:39:39
8747,Spring,48.57,2026-01-20 08:39:39
8747,Summer,40.0,2026-01-20 08:39:39
8748,Fall,38.18,2026-01-20 08:39:39
8748,Winter,33.33,2026-01-20 08:39:39
8750,Summer,40.32,2026-01-20 08:39:39
8750,Spring,39.11,2026-01-20 08:39:39
8751,Summer,38.24,2026-01-20 08:39:39
8751,Spring,35.29,2026-01-20 08:39:39
8752,Spring,35.09,2026-01-20 08:39:39
8752,Summer,26.32,2026-01-20 08:39:39
8752,Fall,24.56,2026-01-20 08:39:39
8754,Spring,30.42,2026-01-20 08:39:39
8754,Fall,30.04,2026-01-20 08:39:39
8756,Spring,33.53,2026-01-20 08:39:39
8756,Fall,27.65,2026-01-20 08:39:39
8756,Summer,25.88,2026-01-20 08:39:39
8760,Winter,42.86,2026-01-20 08:39:39
8760,Fall,39.68,2026-01-20 08:39:39
8762,Summer,37.02,2026-01-20 08:39:39
8762,Spring,36.54,2026-01-20 08:39:39
8762,Fall,20.19,2026-01-20 08:39:39
8763,Spring,40.17,2026-01-20 08:39:39
8763,Summer,35.9,2026-01-20 08:39:39
8764,Spring,44.74,2026-01-20 08:39:39
8764,Summer,42.11,2026-01-20 08:39:39
8766,Summer,40.11,2026-01-20 08:39:39
8766,Spring,36.81,2026-01-20 08:39:39
8767,Fall,42.0,2026-01-20 08:39:39
8767,Winter,38.0,2026-01-20 08:39:39
8770,Spring,32.72,2026-01-20 08:39:39
8770,Fall,25.74,2026-01-20 08:39:39
8770,Summer,25.74,2026-01-20 08:39:39
8771,Spring,33.07,2026-01-20 08:39:39
8771,Fall,31.5,2026-01-20 08:39:39
8774,Spring,37.44,2026-01-20 08:39:39
8774,Fall,27.4,2026-01-20 08:39:39
8774,Summer,25.57,2026-01-20 08:39:39
8775,Spring,32.35,2026-01-20 08:39:39
8775,Fall,28.43,2026-01-20 08:39:39
8775,Summer,22.55,2026-01-20 08:39:39
8778,Spring,33.96,2026-01-20 08:39:39
8778,Summer,31.32,2026-01-20 08:39:39
8778,Fall,23.4,2026-01-20 08:39:39
8779,Spring,32.99,2026-01-20 08:39:39
8779,Fall,29.9,2026-01-20 08:39:39
8779,Summer,24.74,2026-01-20 08:39:39
8782,Spring,39.36,2026-01-20 08:39:39
8782,Summer,36.73,2026-01-20 08:39:39
8785,Fall,34.15,2026-01-20 08:39:39
8785,Spring,29.27,2026-01-20 08:39:39
8788,Fall,45.83,2026-01-20 08:39:39
8788,Winter,41.67,2026-01-20 08:39:39
8789,Fall,30.1,2026-01-20 08:39:39
8789,Spring,29.13,2026-01-20 08:39:39
8789,Winter,24.27,2026-01-20 08:39:39
8790,Spring,42.23,2026-01-20 08:39:39
8790,Summer,38.25,2026-01-20 08:39:39
8792,Winter,41.49,2026-01-20 08:39:39
8792,Fall,39.36,2026-01-20 08:39:39
8796,Summer,40.62,2026-01-20 08:39:39
8796,Spring,38.54,2026-01-20 08:39:39
8798,Summer,46.33,2026-01-20 08:39:39
8798,Spring,37.61,2026-01-20 08:39:39
8801,Spring,34.65,2026-01-20 08:39:39
8801,Fall,23.76,2026-01-20 08:39:39
8801,Summer,23.76,2026-01-20 08:39:39
8802,Summer,42.92,2026-01-20 08:39:39
8802,Spring,41.55,2026-01-20 08:39:39
8805,Spring,33.78,2026-01-20 08:39:39
8805,Summer,31.08,2026-01-20 08:39:39
8805,Fall,25.68,2026-01-20 08:39:39
8806,Spring,32.59,2026-01-20 08:39:39
8806,Summer,29.11,2026-01-20 08:39:39
8806,Fall,24.37,2026-01-20 08:39:39
8809,Spring,40.45,2026-01-20 08:39:39
8809,Summer,31.46,2026-01-20 08:39:39
8810,Fall,31.82,2026-01-20 08:39:39
8810,Spring,28.57,2026-01-20 08:39:39
8810,Winter,20.78,2026-01-20 08:39:39
8814,Spring,35.94,2026-01-20 08:39:39
8814,Summer,33.98,2026-01-20 08:39:39
8817,Spring,36.71,2026-01-20 08:39:39
8817,Fall,31.65,2026-01-20 08:39:39
8817,Summer,20.25,2026-01-20 08:39:39
8818,Spring,32.89,2026-01-20 08:39:39
8818,Summer,28.95,2026-01-20 08:39:39
8818,Fall,23.25,2026-01-20 08:39:39
8821,Fall,30.0,2026-01-20 08:39:39
8821,Spring,30.0,2026-01-20 08:39:39
8821,Winter,22.5,2026-01-20 08:39:39
8822,Spring,36.67,2026-01-20 08:39:39
8822,Fall,27.5,2026-01-20 08:39:39
8825,Summer,47.37,2026-01-20 08:39:39
8825,Spring,35.09,2026-01-20 08:39:39
8826,Spring,30.45,2026-01-20 08:39:39
8826,Fall,27.88,2026-01-20 08:39:39
8826,Summer,22.12,2026-01-20 08:39:39
8829,Summer,45.59,2026-01-20 08:39:39
8829,Spring,42.65,2026-01-20 08:39:39
8830,Spring,35.0,2026-01-20 08:39:39
8830,Summer,28.33,2026-01-20 08:39:39
8830,Fall,23.75,2026-01-20 08:39:39
8832,Spring,32.81,2026-01-20 08:39:39
8832,Fall,27.08,2026-01-20 08:39:39
8832,Summer,23.44,2026-01-20 08:39:39
8833,Summer,43.06,2026-01-20 08:39:39
8833,Spring,40.28,2026-01-20 08:39:39
8834,Summer,39.71,2026-01-20 08:39:39
8834,Spring,39.23,2026-01-20 08:39:39
8837,Spring,30.59,2026-01-20 08:39:39
8837,Fall,24.71,2026-01-20 08:39:39
